brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Maruti Suzuki,Swift,XM,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),5.79,23.2 kmpl,5,268,Not specified,Touchscreen steering controls,Best selling hatchback 2026,Budget friendly mileage,Basic features,Budget hatchback,https://www.marutisuzuki.com
Maruti Suzuki,Swift,XE,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),5.99,23.2 kmpl,5,268,Not specified,Basic manual AC,Entry Swift,M minimal features,Manual only,Entry Swift,https://www.marutisuzuki.com
Maruti Suzuki,Swift,XT,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),6.49,23.2 kmpl,5,268,Not specified,Touchscreen dual airbags,Popular mid variant,Good balance features,Price higher,Value Swift,https://www.marutisuzuki.com
Maruti Suzuki,Swift,XZ,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),6.99,23.2 kmpl,5,268,Not specified,Touchscreen 4 airbags,Feature rich mid,Good features safety,Manual only,Feature Swift,https://www.marutisuzuki.com
Maruti Suzuki,Swift,XZ+,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),7.49,23.2 kmpl,5,268,Not specified,Touchscreen TPMS premium,Top variant features,Best features premium,Expensive,Top Swift,https://www.marutisuzuki.com
Maruti Suzuki,Swift,DXTCVT,Hatchback,Petrol,Automatic CVT,1.2L K12 Petrol (90PS/113Nm),7.99,22.5 kmpl,5,268,Not specified,CVT automatic touchscreen,CVT convenience,Easy automatic driving,CVT lag,CVT buyers,https://www.marutisuzuki.com
Maruti Suzuki,Swift,ZXi,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),8.8,23.2 kmpl,5,268,Not specified,Top Swift features premium,Ultimate Swift,Full features,Most expensive,Ultimate Swift,https://www.marutisuzuki.com
Maruti Suzuki,Baleno,Ebrahim,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),5.99,22 kmpl,5,312,4 Star,Touchscreen basic,Entry Baleno affordable,Budget premium hatch,Basic features,Budget Baleno,https://www.marutisuzuki.com
Maruti Suzuki,Baleno,Alpha,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),6.49,22 kmpl,5,312,4 Star,Touchscreen dual airbags,Popular mid Baleno,Good balance premium,Price higher,Value Baleno,https://www.marutisuzuki.com
Maruti Suzuki,Baleno,Delta,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),6.99,22 kmpl,5,312,4 Star,Touchscreen connected tech,Feature mid Baleno,Good features tech,Manual,Feature Baleno,https://www.marutisuzuki.com
Maruti Suzuki,Baleno,Zeta,Hatchback,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),7.49,22 kmpl,5,312,4 Star,Touchscreen 4 airbags,Top mid Baleno,Best features mid,Expensive,Top mid Baleno,https://www.marutisuzuki.com
Maruti Suzuki,Baleno,Alpha CVT,Hatchback,Petrol,Automatic CVT,1.2L K12 Petrol (90PS/113Nm),7.99,21.5 kmpl,5,312,4 Star,CVT automatic premium,CVT Baleno,Easy CVT drive,CVT price,CVT Baleno,https://www.marutisuzuki.com
Maruti Suzuki,Baleno,Alpha Turbo,Hatchback,Petrol,Manual,1.2L Turbo Petrol (110PS/190Nm),8.1,20 kmpl,5,312,4 Star,Turbo 6 airbags,Top turbo Baleno,Best turbo,High price,Turbo Baleno,https://www.marutisuzuki.com
Maruti Suzuki,Baleno,Alpha Turbo CVT,Hatchback,Petrol,Automatic CVT,1.2L Turbo Petrol (110PS/190Nm),9.1,19.5 kmpl,5,312,4 Star,Turbo CVT top,Ultimate turbo CVT,Best turbo CVT,Most expensive,Ultimate turbo,https://www.marutisuzuki.com
Maruti Suzuki,Dzire,EA,Sedan,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),6.26,24.12 kmpl,5,378,Not specified,Touchscreen basic,Entry Dzire sedan,Budget sedan,Basic features,Budget sedan,https://www.marutisuzuki.com
Maruti Suzuki,Dzire,AM,Sedan,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),6.76,24.12 kmpl,5,378,Not specified,Touchscreen dual airbags,Popular mid sedan,Good balance,Price higher,Value sedan,https://www.marutisuzuki.com
Maruti Suzuki,Dzire,AX,Sedan,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),7.26,24.12 kmpl,5,378,Not specified,Touchscreen 4 airbags,Feature mid sedan,Good features,Manual,Feature sedan,https://www.marutisuzuki.com
Maruti Suzuki,Dzire,ZX,Sedan,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),7.76,24.12 kmpl,5,378,Not specified,Touchscreen premium,Top mid sedan,Best features,Expensive,Top mid sedan,https://www.marutisuzuki.com
Maruti Suzuki,Dzire,ZX+,Sedan,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),8.26,24.12 kmpl,5,378,Not specified,Touchscreen TPMS top,Top sedan variant,Ultimate features,Most expensive,Ultimate sedan,https://www.marutisuzuki.com
Maruti Suzuki,Dzire,ZXi+CVT,Sedan,Petrol,Automatic CVT,1.2L K12 Petrol (90PS/113Nm),8.8,23.5 kmpl,5,378,Not specified,CVT automatic top,Top CVT sedan,Best CVT,Price,CVT sedan,https://www.marutisuzuki.com
Maruti Suzuki,Dzire,CNG,Sedan,CNG,Manual,1.2L CNG,6.99,31.08 km/kg,5,378,Not specified,CNG basic sedan,Budget CNG sedan,Cost effective,Slower,Budget CNG,https://www.marutisuzuki.com
Maruti Suzuki,Dzire,CNG+ZS,Sedan,CNG,Manual,1.2L CNG,7.99,31.08 km/kg,5,378,Not specified,CNG premium top,Top CNG sedan,Full CNG features,Expensive,Top CNG,https://www.marutisuzuki.com
Maruti Suzuki,Brezza,GA,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),8.26,19.53 kmpl,5,328,3 Star,Touchscreen basic,Entry Brezza SUV,Budget compact SUV,Basic features,Budget SUV,https://www.marutisuzuki.com
Maruti Suzuki,Brezza,GM,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),8.76,19.53 kmpl,5,328,3 Star,Touchscreen dual airbags,Popular mid Brezza,Good balance,Price higher,Value Brezza,https://www.marutisuzuki.com
Maruti Suzuki,Brezza,GS,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),9.26,19.53 kmpl,5,328,3 Star,Touchscreen 4 airbags,Feature mid Brezza,Good features,Manual,Feature Brezza,https://www.marutisuzuki.com
Maruti Suzuki,Brezza,VA,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),9.76,19.53 kmpl,5,328,3 Star,Touchscreen premium,Top mid Brezza,Best features,Expensive,Top mid Brezza,https://www.marutisuzuki.com
Maruti Suzuki,Brezza,VM,SUV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/138Nm),10.26,19 kmpl,5,328,3 Star,AT automatic premium,AT Brezza SUV,Easy AT drive,AT price,AT Brezza,https://www.marutisuzuki.com
Maruti Suzuki,Brezza,VS,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),10.76,19.53 kmpl,5,328,3 Star,Touchscreen 6 airbags,Top safety Brezza,Best safety,Price higher,Safety Brezza,https://www.marutisuzuki.com
Maruti Suzuki,Brezza,VZ,SUV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/138Nm),11.26,19 kmpl,5,328,3 Star,AT 6 airbags top,Top AT Brezza,Ultimate AT,Expensive,Top AT,https://www.marutisuzuki.com
Maruti Suzuki,Brezza,VZ+,SUV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/138Nm),13.01,19 kmpl,5,328,3 Star,ADAS AT premium,Top ADAS Brezza,Ultimate ADAS,Most expensive,Ultimate Brezza,https://www.marutisuzuki.com
Maruti Suzuki,Ertiga,GA,MPV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),8.8,20.51 kmpl,7,262,Not specified,Touchscreen basic,Entry Ertiga 7 seater,Budget 7 seater MPV,Basic features,Budget 7 seater,https://www.marutisuzuki.com
Maruti Suzuki,Ertiga,GM,MPV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),9.3,20.51 kmpl,7,262,Not specified,Touchscreen dual airbags,Popular mid Ertiga,Good balance,Price higher,Value Ertiga,https://www.marutisuzuki.com
Maruti Suzuki,Ertiga,GS,MPV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),9.8,20.51 kmpl,7,262,Not specified,Touchscreen 4 airbags,Feature mid Ertiga,Good features,Manual,Feature Ertiga,https://www.marutisuzuki.com
Maruti Suzuki,Ertiga,VA,MPV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),10.3,20.51 kmpl,7,262,Not specified,Touchscreen premium,Top mid Ertiga,Best features,Expensive,Top mid Ertiga,https://www.marutisuzuki.com
Maruti Suzuki,Ertiga,VM,MPV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/136Nm),10.8,20 kmpl,7,262,Not specified,AT automatic premium,AT Ertiga,Easy AT 7 seater,AT price,AT Ertiga,https://www.marutisuzuki.com
Maruti Suzuki,Ertiga,VS,MPV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),11.3,20.51 kmpl,7,262,Not specified,Touchscreen 6 airbags,Top safety Ertiga,Best safety,Price higher,Safety Ertiga,https://www.marutisuzuki.com
Maruti Suzuki,Ertiga,VZ,MPV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/136Nm),11.8,20 kmpl,7,262,Not specified,AT 6 airbags top,Top AT Ertiga,Ultimate AT,Expensive,Top AT Ertiga,https://www.marutisuzuki.com
Maruti Suzuki,Ertiga,VXi,MPV,CNG,Manual,1.5L CNG,9.8,25.9 km/kg,7,262,Not specified,CNG basic MPV,Budget CNG MPV,Cost effective,Slower,Budget CNG,https://www.marutisuzuki.com
Maruti Suzuki,Ertiga,VXZi,MPV,CNG,Manual,1.5L CNG,11.8,25.9 km/kg,7,262,Not specified,CNG premium top,Top CNG MPV,Full CNG features,Expensive,Top CNG,https://www.marutisuzuki.com
Maruti Suzuki,XL6,ZA,MPV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),10.5,20 kmpl,6,Not specified,Not specified,Touchscreen premium,Entry XL6 premium,Budget premium MPV,Basic features,Budget premium,https://www.marutisuzuki.com
Maruti Suzuki,XL6,ZE,MPV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),11,20 kmpl,6,Not specified,Not specified,Touchscreen dual airbags,Popular mid XL6,Good balance,Price higher,Value XL6,https://www.marutisuzuki.com
Maruti Suzuki,XL6,ZX,MPV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),11.5,20 kmpl,6,Not specified,Not specified,Touchscreen 4 airbags,Feature mid XL6,Good features,Manual,Feature XL6,https://www.marutisuzuki.com
Maruti Suzuki,XL6,ZX+,MPV,Petrol,Manual,1.5L K15 Petrol (103PS/136Nm),12,20 kmpl,6,Not specified,Not specified,Touchscreen 6 airbags,Top XL6 safety,Best safety,Price higher,Safety XL6,https://www.marutisuzuki.com
Maruti Suzuki,XL6,ZX+AT,MPV,Petrol,Automatic AT,1.5L K15 Petrol (103PS/136Nm),12.94,19.5 kmpl,6,Not specified,Not specified,AT 6 airbags top,Top AT XL6,Ultimate AT,Expensive,Top AT XL6,https://www.marutisuzuki.com
Maruti Suzuki,Fronx,GA,SUV,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),6.85,21.7 kmpl,5,322,Not specified,Touchscreen basic,Entry Fronx SUV,Crossover entry,Basic features,Budget crossover,https://www.marutisuzuki.com
Maruti Suzuki,Fronx,GM,SUV,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),7.35,21.7 kmpl,5,322,Not specified,Touchscreen dual airbags,Popular mid Fronx,Good balance,Price higher,Value Fronx,https://www.marutisuzuki.com
Maruti Suzuki,Fronx,GS,SUV,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),7.85,21.7 kmpl,5,322,Not specified,Touchscreen 4 airbags,Feature mid Fronx,Good features,Manual,Feature Fronx,https://www.marutisuzuki.com
Maruti Suzuki,Fronx,VA,SUV,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),8.35,21.7 kmpl,5,322,Not specified,Touchscreen premium,Top mid Fronx,Best features,Expensive,Top mid Fronx,https://www.marutisuzuki.com
Maruti Suzuki,Fronx,VT,SUV,Petrol,Automatic CVT,1.2L K12 Petrol (90PS/113Nm),8.85,21 kmpl,5,322,Not specified,CVT automatic premium,CVT Fronx,Easy CVT drive,CVT price,CVT Fronx,https://www.marutisuzuki.com
Maruti Suzuki,Fronx,VS,SUV,Petrol,Manual,1.2L K12 Petrol (90PS/113Nm),9.35,21.7 kmpl,5,322,Not specified,Touchscreen 6 airbags,Top safety Fronx,Best safety,Price,Safety Fronx,https://www.marutisuzuki.com
Maruti Suzuki,Fronx,VZ,SUV,Petrol,Automatic CVT,1.2L K12 Petrol (90PS/113Nm),9.85,21 kmpl,5,322,Not specified,CVT 6 airbags top,Top CVT Fronx,Ultimate CVT,Expensive,Top CVT,https://www.marutisuzuki.com
Maruti Suzuki,Fronx,Alpha Turbo,SUV,Petrol,Manual,1.4L Turbo Petrol (115PS/170Nm),10.35,20 kmpl,5,322,Not specified,Turbo 6 airbags premium,Top turbo Fronx,Best turbo,High price,Turbo Fronx,https://www.marutisuzuki.com
Maruti Suzuki,Fronx,Alpha Turbo CVT,SUV,Petrol,Automatic CVT,1.4L Turbo Petrol (115PS/170Nm),11.98,19.5 kmpl,5,322,Not specified,Turbo CVT top,Ultimate turbo CVT,Best turbo CVT,Most expensive,Ultimate turbo,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,GA,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),10.77,21.1 kmpl,5,373,4 Star,Touchscreen basic,Entry Grand Vitara,Budget hybrid SUV,Basic features,Budget hybrid,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,GM,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),11.27,21.1 kmpl,5,373,4 Star,Touchscreen dual airbags,Popular mid GV,Good balance,Price higher,Value GV,https://www.marutisuzuki.com
Maruti Suzuki,Grand_Vitara,GS,SUV,Petrol,Manual,1.5L K15 Petrol (103PS/138Nm),11.77,21.1 kmpl,5,373,4 Star,Touchscreen 4 airbags,Feature mid GV,Good features,Manual,Feature GV,https://www.marutisuzuki.com
