brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Kia,Sonet,HTE,SUV,Petrol,Manual,1.2L Smartstream Petrol (83PS/114Nm),8,18.4 kmpl,5,328,Not specified,Touchscreen basic,Entry Sonet affordable,Budget compact SUV,Basic features,Budget Sonet,https://www.kia.com/in/home.html
Kia,Sonet,HTK,SUV,Petrol,Manual,1.2L Smartstream Petrol (83PS/114Nm),8.5,18.4 kmpl,5,328,Not specified,Touchscreen dual airbags,Popular mid Sonet,Good balance,Price higher,Value Sonet,https://www.kia.com/in/home.html
Kia,Sonet,HTK+,SUV,Petrol,Manual,1.2L Smartstream Petrol (83PS/114Nm),9,18.4 kmpl,5,328,Not specified,Touchscreen 4 airbags,Feature mid Sonet,Good features,Manual,Feature Sonet,https://www.kia.com/in/home.html
Kia,Sonet,HTX,SUV,Petrol,Manual,1.2L Smartstream Petrol (83PS/114Nm),9.5,18.4 kmpl,5,328,Not specified,Touchscreen premium,Top mid Sonet,Best features,Expensive,Top mid Sonet,https://www.kia.com/in/home.html
Kia,Sonet,HTX+,SUV,Petrol,Manual,1.2L Smartstream Petrol (83PS/114Nm),10,18.4 kmpl,5,328,Not specified,Touchscreen 6 airbags,Top Sonet safety,Best safety,Price higher,Safety Sonet,https://www.kia.com/in/home.html
Kia,Sonet,GTX,SUV,Petrol,Manual,1.0L Turbo Petrol (120PS/170Nm),10.5,17 kmpl,5,328,Not specified,Turbo 6 airbags premium,Turbo Sonet,Powerful turbo,Price higher,Turbo Sonet,https://www.kia.com/in/home.html
Kia,Sonet,GTX+,SUV,Petrol,Manual,1.0L Turbo Petrol (120PS/170Nm),11,17 kmpl,5,328,Not specified,Turbo ultimate,Turbo top Sonet,Ultimate Turbo,Expensive,Ultimate Turbo,https://www.kia.com/in/home.html
Kia,Sonet,GT,SUV,Petrol,Automatic DCT,1.0L Turbo Petrol (120PS/170Nm),12.5,16.5 kmpl,5,328,Not specified,Turbo DCT sport,DCT Turbo Sonet,Easy DCT drive,DCT price,DCT Turbo,https://www.kia.com/in/home.html
Kia,Sonet,GT+,SUV,Petrol,Automatic DCT,1.0L Turbo Petrol (120PS/170Nm),13.5,16.5 kmpl,5,328,Not specified,Turbo DCT ultimate,Ultimate DCT Sonet,Ultimate DCT,Most expensive,Ultimate DCT,https://www.kia.com/in/home.html
Kia,Sonet,Diesel,SUV,Diesel,Manual,1.5L Diesel (115PS/250Nm),10.5,19 kmpl,5,328,Not specified,Diesel mid Sonet,Mid Diesel Sonet,Powerful diesel,Price higher,Diesel Sonet,https://www.kia.com/in/home.html
Kia,Sonet,Diesel+AT,SUV,Diesel,Automatic AT,1.5L Diesel (115PS/250Nm),12.5,18 kmpl,5,328,Not specified,Diesel AT premium,Diesel AT Sonet,Easy AT diesel,AT price,AT Diesel,https://www.kia.com/in/home.html
Kia,Sonet,XLine,SUV,Petrol,Manual,1.0L Turbo Petrol (120PS/170Nm),11.5,17 kmpl,5,328,Not specified,XLine sport edition,XLine Sonet,Sporty XLine,Price higher,XLine Sonet,https://www.kia.com/in/home.html
Kia,Suyer,HTK,SUV,Petrol,Manual,1.2L Smartstream Petrol (83PS/114Nm),11.19,17 kmpl,5,433,Not specified,Touchscreen basic,Entry Seltos,Budget mid-size SUV,Basic features,Budget Seltos,https://www.kia.com/in/home.html
Kia,Suyer,HTK+,SUV,Petrol,Manual,1.2L Smartstream Petrol (83PS/114Nm),11.69,17 kmpl,5,433,Not specified,Touchscreen dual airbags,Popular mid Seltos,Good balance,Price higher,Value Seltos,https://www.kia.com/in/home.html
