brand,model,body_type,fuel_type,transmission,engine_spec,variant_type,seating,boot_space_l,range_or_mileage,price_range_exshowroom_in_lakh,battery_kwh,price_lakh
Tata,Punch,Compact SUV,Petrol,Manual,1.2L NA Petrol 86–88 bhp (5MT),Smart,5,366,18–20 kmpl,5.59–6.90,,6.9
Tata,Punch,Compact SUV,Petrol,Manual,1.2L NA Petrol 86–88 bhp (5MT),Pure,5,366,18–20 kmpl,6.90–7.80,,7.8
Tata,Punch,Compact SUV,Petrol,Manual,1.2L NA Petrol 86–88 bhp (5MT),Pure+,5,366,18–20 kmpl,7.80–8.50,,8.5
Tata,Punch,Compact SUV,Petrol,Manual,1.2L NA Petrol 86–88 bhp (5MT),Pure+ S,5,366,18–20 kmpl,8.50–9.00,,9.0
Tata,Punch,Compact SUV,Petrol,Manual,1.2L Turbo Petrol 118–120 bhp (6MT),Adventure,5,366,16–18 kmpl,9.00–9.80,,9.8
Tata,Punch,Compact SUV,Petrol,Manual,1.2L Turbo Petrol 118–120 bhp (6MT),Adventure S,5,366,16–18 kmpl,9.80–10.20,,10.2
Tata,Punch,Compact SUV,Petrol,Manual,1.2L Turbo Petrol 118–120 bhp (6MT),Accomplished,5,366,16–18 kmpl,10.20–10.50,,10.5
Tata,Punch,Compact SUV,Petrol,Manual,1.2L Turbo Petrol 118–120 bhp (6MT),Accomplished+ S,5,366,16–18 kmpl,10.50–10.54,,10.54
Tata,Punch,Compact SUV,Petrol,Automatic,1.2L NA Petrol 86–88 bhp (5‑speed AMT),Smart,5,366,17–19 kmpl,6.80–7.20,,7.2
Tata,Punch,Compact SUV,Petrol,Automatic,1.2L NA Petrol 86–88 bhp (5‑speed AMT),Pure,5,366,17–19 kmpl,7.20–8.00,,8.0
Tata,Punch,Compact SUV,Petrol,Automatic,1.2L NA Petrol 86–88 bhp (5‑speed AMT),Pure+,5,366,17–19 kmpl,8.00–8.80,,8.8
Tata,Punch,Compact SUV,Petrol,Automatic,1.2L NA Petrol 86–88 bhp (5‑speed AMT),Pure+ S,5,366,17–19 kmpl,8.80–9.30,,9.3
Tata,Punch,Compact SUV,Petrol,Automatic,1.2L Turbo Petrol 118–120 bhp (6MT / DCT),Adventure,5,366,15–17 kmpl,9.90–10.60,,10.6
Tata,Punch,Compact SUV,Petrol,Automatic,1.2L Turbo Petrol 118–120 bhp (6MT / DCT),Accomplished,5,366,15–17 kmpl,10.60–11.00,,11.0
Tata,Punch,Compact SUV,CNG,Manual,"1.2L Revotron 72–73 bhp, iCNG (5MT)",Pure,5,210,26–27 km/kg,7.30–7.80,,7.8
Tata,Punch,Compact SUV,CNG,Manual,"1.2L Revotron 72–73 bhp, iCNG (5MT)",Pure+,5,210,26–27 km/kg,7.80–8.30,,8.3
Tata,Punch,Compact SUV,CNG,Manual,"1.2L Revotron 72–73 bhp, iCNG (5MT)",Adventure,5,210,26–27 km/kg,8.30–9.00,,9.0
Tata,Punch,Compact SUV,CNG,Automatic,"1.2L Revotron 72–73 bhp, iCNG (AMT)",Pure,5,210,25–26 km/kg,8.20–8.70,,8.7
Tata,Punch,Compact SUV,CNG,Automatic,"1.2L Revotron 72–73 bhp, iCNG (AMT)",Pure+,5,210,25–26 km/kg,8.70–9.20,,9.2
Tata,Punch,Compact SUV,CNG,Automatic,"1.2L Revotron 72–73 bhp, iCNG (AMT)",Adventure,5,210,25–26 km/kg,9.20–9.80,,9.8
Tata,Punch,Compact SUV,Diesel,Manual,1.2L Turbo Diesel 108–110 bhp (5MT),Pure,5,366,20–22 kmpl,7.80–8.50,,8.5
Tata,Punch,Compact SUV,Diesel,Manual,1.2L Turbo Diesel 108–110 bhp (5MT),Adventure,5,366,20–22 kmpl,8.50–9.20,,9.2
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XZ,5,345,17–19 kmpl,6.5–7.8,,7.8
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XZ+,5,345,17–19 kmpl,7.8–8.8,,8.8
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XM,5,345,17–19 kmpl,6.0–6.8,,6.8
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XT,5,345,17–19 kmpl,7.2–8.2,,8.2
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XT(O),5,345,17–19 kmpl,8.2–8.8,,8.8
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XT(E),5,345,17–19 kmpl,8.8–9.2,,9.2
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XZ(O),5,345,17–19 kmpl,8.8–9.6,,9.6
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XZ(E),5,345,17–19 kmpl,9.6–10.5,,10.5
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XZ+ LUX,5,345,17–19 kmpl,10.0–10.5,,10.5
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XZ+ S,5,345,17–19 kmpl,10.5–11.0,,11.0
Tata,Altroz,Hatchback,Petrol,Manual,1.2L Revotron 1.2L NA Petrol 85–110 bhp (5MT),XZ+ S LUX,5,345,17–19 kmpl,11.0–12.0,,12.0
Tata,Altroz,Hatchback,Petrol,Automatic,1.2L Revotron 1.2L NA Petrol 110 bhp (6‑speed AGS),XZ,5,345,16–18 kmpl,8.0–9.0,,9.0
Tata,Altroz,Hatchback,Petrol,Automatic,1.2L Revotron 1.2L NA Petrol 110 bhp (6‑speed AGS),XZ+,5,345,16–18 kmpl,9.0–10.0,,10.0
Tata,Altroz,Hatchback,Petrol,Automatic,1.2L Revotron 1.2L NA Petrol 110 bhp (6‑speed AGS),XT(E),5,345,16–18 kmpl,10.0–10.5,,10.5
Tata,Altroz,Hatchback,Petrol,Automatic,1.2L Revotron 1.2L NA Petrol 110 bhp (6‑speed AGS),XZ+ S,5,345,16–18 kmpl,11.0–11.5,,11.5
Tata,Altroz,Hatchback,Petrol,Automatic,1.2L Revotron 1.2L NA Petrol 110 bhp (6‑speed AGS),XZ+ S LUX,5,345,16–18 kmpl,11.5–12.0,,12.0
Tata,Altroz EV,Hatchback,Electric,Automatic,"120 kW PMSM, 30 kWh Battery",CL,5,345,300–400 km (ARAI),12.5–13.5,30.0,13.5
