brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Mahindra,Scorpio-Classic,SC,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),14.00,14 kmpl,5,Not specified,Not specified,Touchscreen basic,Entry Scorpio Classic,Budget classic SUV,Basic features,Budget classic,https://auto.mahindra.com
Mahindra,Scorpio-Classic,SLX,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),14.50,14 kmpl,5,Not specified,Not specified,Touchscreen dual airbags,Popular mid Scorpio Classic,Good balance,Price higher,Value classic,https://auto.mahindra.com
Mahindra,Scorpio-Classic,EX,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),15.00,14 kmpl,5,Not specified,Not specified,Touchscreen 4 airbags,Feature mid Scorpio Classic,Good features,Manual,Feature classic,https://auto.mahindra.com
Mahindra,Scorpio-Classic,SR,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),15.50,14 kmpl,5,Not specified,Not specified,Touchscreen premium,Top mid Scorpio Classic,Best features,Expensive,Top mid classic,https://auto.mahindra.com
Mahindra,Scorpio-Classic,S11,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),16.00,14 kmpl,5,Not specified,Not specified,Touchscreen 6 airbags,Top Scorpio Classic safety,Best safety,Price higher,Safety classic,https://auto.mahindra.com
Mahindra,Scorpio-Classic,S11+,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),16.50,14 kmpl,5,Not specified,Not specified,Touchscreen max,Ultimate Scorpio Classic,Ultimate features,Most expensive,Ultimate classic,https://auto.mahindra.com
Mahindra,Scorpio-N,SC,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),14.50,14.5 kmpl,5,Not specified,5 Star,Touchscreen basic,Entry Scorpio N,Budget new Scorpio,Basic features,Budget Scorpio,https://auto.mahindra.com
Mahindra,Scorpio-N,SLX,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),15.00,14.5 kmpl,5,Not specified,5 Star,Touchscreen dual airbags,Popular mid Scorpio N,Good balance,Price higher,Value Scorpio,https://auto.mahindra.com
Mahindra,Scorpio-N,EX,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),15.50,14.5 kmpl,5,Not specified,5 Star,Touchscreen 4 airbags,Feature mid Scorpio N,Good features,Manual,Feature Scorpio,https://auto.mahindra.com
Mahindra,Scorpio-N,S11,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),16.50,14.5 kmpl,5,Not specified,5 Star,Touchscreen premium,Top mid Scorpio N,Best features,Expensive,Top mid Scorpio,https://auto.mahindra.com
Mahindra,Scorpio-N,S11+,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),17.50,14.5 kmpl,5,Not specified,5 Star,Touchscreen 6 airbags,Top Scorpio N safety,Best safety,Price higher,Safety Scorpio,https://auto.mahindra.com
Mahindra,Scorpio-N,S11 4X4,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),18.50,14 kmpl,5,Not specified,5 Star,4X4 6 airbags premium,4X4 Scorpio N,Ultimate offroad,High price,4X4 Scorpio,https://auto.mahindra.com
Mahindra,Scorpio-N,S11 MAX,SUV,Diesel,Manual,2.2L mHawk (130PS/300Nm),19.50,14 kmpl,5,Not specified,5 Star,MAX ultimate 6 airbags,MAX Scorpio N,Ultimate MAX,Most expensive,Ultimate MAX,https://auto.mahindra.com
Mahindra,Scorpio-N,Automatic,SUV,Diesel,Automatic AT,2.2L mHawk (130PS/300Nm),20.50,13.5 kmpl,5,Not specified,5 Star,AT automatic premium,AT Scorpio N,Easy AT drive,AT price,AT Scorpio,https://auto.mahindra.com
Mahindra,Scorpio-N,Automatic+S11,SUV,Diesel,Automatic AT,2.2L mHawk (130PS/300Nm),21.50,13.5 kmpl,5,Not specified,5 Star,AT S11 premium,AT S11 Scorpio,AT S11 features,Expensive,AT S11,https://auto.mahindra.com
Mahindra,XUV700,AX3,SUV,Petrol,Manual,1.5L Turbo Petrol (155PS/250Nm),14.50,16.5 kmpl,5,Not specified,5 Star,Touchscreen basic,Entry XUV700 5 seater,Budget luxury SUV,Basic features,Budget luxury,https://auto.mahindra.com
Mahindra,XUV700,AX3 7,SUV,Petrol,Manual,1.5L Turbo Petrol (155PS/250Nm),15.50,16.5 kmpl,7,Not specified,5 Star,Touchscreen 7 seater,Entry 7 seater XUV700,Budget 7 seater,Price higher,Budget 7 seater,https://auto.mahindra.com
Mahindra,XUV700,AX5,SUV,Petrol,Manual,1.5L Turbo Petrol (155PS/250Nm),15.50,16.5 kmpl,5,Not specified,5 Star,Touchscreen dual airbags,Popular mid XUV700,Good balance,Price higher,Value XUV700,https://auto.mahindra.com
Mahindra,XUV700,AX5 7,SUV,Petrol,Manual,1.5L Turbo Petrol (155PS/250Nm),16.50,16.5 kmpl,7,Not specified,5 Star,Touchscreen 7 dual airbags,Mid 7 seater XUV700,Good 7 seater,Price higher,Mid 7 seater,https://auto.mahindra.com
Mahindra,XUV700,AX7,SUV,Petrol,Manual,1.5L Turbo Petrol (155PS/250Nm),16.50,16.5 kmpl,5,Not specified,5 Star,Touchscreen 4 airbags,Feature mid XUV700,Good features,Manual,Feature XUV700,https://auto.mahindra.com
Mahindra,XUV700,AX7 7,SUV,Petrol,Manual,1.5L Turbo Petrol (155PS/250Nm),17.50,16.5 kmpl,7,Not specified,5 Star,Touchscreen 4 airbags 7,Feature 7 seater XUV700,Good 7 features,Price higher,Feature 7,https://auto.mahindra.com
Mahindra,XUV700,AX7 LS,SUV,Petrol,Manual,1.5L Turbo Petrol (155PS/250Nm),17.50,16.5 kmpl,5,Not specified,5 Star,Touchscreen premium,Top mid XUV700,Best features,Expensive,Top mid XUV700,https://auto.mahindra.com
Mahindra,XUV700,AX7 L7,SUV,Petrol,Manual,1.5L Turbo Petrol (155PS/144Nm),18.50,16.5 kmpl,7,Not specified,5 Star,Touchscreen premium 7,Top mid 7 seater XUV700,Luxury 7 seater,Price higher,Luxury 7 seater,https://auto.mahindra.com
Mahindra,XUV700,AX7 L7 LS,SUV,Petrol,Manual,1.5L Turbo Petrol (155PS/144Nm),19.50,16.5 kmpl,7,Not specified,5 Star,Touchscreen 6 airbags 7 LS,Luxury 7 seater XUV700,Ultimate luxury 7,Expensive,Ultimate luxury 7,https://auto.mahindra.com
Mahindra,XUV700,Automatic,SUV,Petrol,Automatic AT,1.5L Turbo Petrol (155PS/250Nm),19.50,16 kmpl,5,Not specified,5 Star,AT automatic premium,AT XUV700,Easy AT drive,AT price,AT XUV700,https://auto.mahindra.com
Mahindra,XUV700,Automatic 7,SUV,Petrol,Automatic AT,1.5L Turbo Petrol (155PS/250Nm),20.50,16 kmpl,7,Not specified,5 Star,AT 7 automatic premium,AT 7 XUV700,Easy AT 7 drive,AT price higher,AT 7 XUV700,https://auto.mahindra.com
Mahindra,XUV700,Diesel,SUV,Diesel,Manual,2.2L mHawk (170PS/350Nm),17.50,15 kmpl,5,Not specified,5 Star,Diesel mid XUV700,Mid Diesel XUV700,Powerful diesel,Price higher,Diesel XUV700,https://auto.mahindra.com
Mahindra,XUV700,Diesel 7,SUV,Diesel,Manual,2.2L mHawk (170PS/350Nm),18.50,15 kmpl,7,Not specified,5 Star,Diesel 7 mid XUV700,Mid Diesel 7 XUV700,Powerful diesel 7,Price higher,Diesel 7,https://auto.mahindra.com
Mahindra,XUV700,Diesel AT,SUV,Diesel,Automatic AT,2.2L mHawk (170PS/350Nm),19.50,14.5 kmpl,5,Not specified,5 Star,Diesel AT premium,Diesel AT XUV700,Easy AT diesel,AT price,AT Diesel XUV700,https://auto.mahindra.com
Mahindra,XUV700,Diesel AT 7,SUV,Diesel,Automatic AT,2.2L mHawk (170PS/350Nm),20.50,14.5 kmpl,7,Not specified,5 Star,Diesel AT 7 premium,Diesel AT 7 XUV700,Easy AT 7 diesel,AT price higher,AT Diesel 7,https://auto.mahindra.com
Mahindra,XUV700,AX7 Turbo,SUV,Petrol,Manual,1.5L Turbo Petrol (173PS/250Nm),20.50,15.5 kmpl,5,Not specified,5 Star,Turbo 6 airbags top,Top Turbo XUV700,Best Turbo,High price,Top Turbo,https://auto.mahindra.com
Mahindra,XUV700,AX7 Turbo AT,SUV,Petrol,Automatic AT,1.5L Turbo Petrol (173PS/250Nm),21.50,15 kmpl,5,Not specified,5 Star,Turbo AT ultimate,Top Turbo AT XUV700,Ultimate Turbo AT,Most expensive,Ultimate Turbo AT,https://auto.mahindra.com
Mahindra,XUV300,W4,Hatchback,Petrol,Manual,1.2L Turbo Petrol (110PS/170Nm),8.50,18 kmpl,5,Not specified,5 Star,Touchscreen basic,Entry XUV300 compact SUV,Budget compact SUV,Basic features,Budget compact,https://auto.mahindra.com
Mahindra,XUV300,W4 AMT,Hatchback,Petrol,Automatic AMT,1.2L Turbo Petrol (110PS/170Nm),9.50,17 kmpl,5,Not specified,5 Star,AMT entry,AMT XUV300 entry,Easy AMT,AMT price,AMT entry,https://auto.mahindra.com
Mahindra,XUV300,W8,Hatchback,Petrol,Manual,1.2L Turbo Petrol (110PS/170Nm),9.50,18 kmpl,5,Not specified,5 Star,Touchscreen dual airbags,Popular mid XUV300,Good balance,Price higher,Value XUV300,https://auto.mahindra.com
Mahindra,XUV300,W8 AMT,Hatchback,Petrol,Automatic AMT,1.2L Turbo Petrol (110PS/170Nm),10.50,17 kmpl,5,Not specified,5 Star,AMT dual airbags,Mid AMT XUV300,Good AMT,Price higher,Value AMT,https://auto.mahindra.com
Mahindra,XUV300,W10,Hatchback,Petrol,Manual,1.2L Turbo Petrol (110PS/170Nm),10.50,18 kmpl,5,Not specified,5 Star,Touchscreen 4 airbags,Feature mid XUV300,Good features,Manual,Feature XUV300,https://auto.mahindra.com
Mahindra,XUV300,W10 AMT,Hatchback,Petrol,Automatic AMT,1.2L Turbo Petrol (110PS/170Nm),11.50,17 kmpl,5,Not specified,5 Star,AMT 4 airbags,Feature AMT XUV300,Good AMT features,Price higher,Feature AMT,https://auto.mahindra.com
Mahindra,XUV300,W11,Hatchback,Petrol,Manual,1.2L Turbo Petrol (110PS/170Nm),11.50,18 kmpl,5,Not specified,5 Star,Touchscreen 6 airbags,Top XUV300 safety,Best safety,Price higher,Safety XUV300,https://auto.mahindra.com
Mahindra,XUV300,W11 AMT,Hatchback,Petrol,Automatic AMT,1.2L Turbo Petrol (110PS/170Nm),12.50,17 kmpl,5,Not specified,5 Star,AMT 6 airbags,Top AMT XUV300,Ultimate AMT,Most expensive,Ultimate AMT,https://auto.mahindra.com
Mahindra,XUV300,Diesel,Hatchback,Diesel,Manual,1.5L Diesel (110PS/250Nm),10.50,19 kmpl,5,Not specified,5 Star,Diesel mid XUV300,Mid Diesel XUV300,Powerful diesel,Price higher,Diesel XUV300,https://auto.mahindra.com
