brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Volkswagen,Taigun,MT 1.0L,SUV,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),10.99,19.98 kmpl,5,520,5 Star GNCAP,Touchscreen basic,Entry Taigun affordable,Budget compact SUV,Basic features,Budget SUV,https://www.volkswagen.co.in
Volkswagen,Taigun,MT 1.0L HP,SUV,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),11.99,19.98 kmpl,5,520,5 Star GNCAP,Touchscreen dual airbags,Popular mid Taigun,Good balance,Price higher,Value SUV,https://www.volkswagen.co.in
Volkswagen,Taigun,AT 1.0L,SUV,Petrol,Automatic AT,1.0L TSI Turbo (113PS/175Nm),13.99,18.5 kmpl,5,520,5 Star GNCAP,AT 6 airbags premium,AT Taigun,Easy AT drive,AT price,AT SUV,https://www.volkswagen.co.in
Volkswagen,Taigun,MT 1.5L,SUV,Petrol,Manual,1.5L TSI Turbo (150PS/250Nm),14.99,18 kmpl,5,520,5 Star GNCAP,Touchscreen 4 airbags,Feature mid Taigun,Powerful 1.5L,Manual,Feature SUV,https://www.volkswagen.co.in
Volkswagen,Taigun,AT 1.5L,SUV,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),16.99,17 kmpl,5,520,5 Star GNCAP,DSG 6 airbags premium,DSG Taigun,Powerful DSG,Price higher,DSG SUV,https://www.volkswagen.co.in
Volkswagen,Taigun,GT 1.5L,SUV,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),18.99,17 kmpl,5,520,5 Star GNCAP,GT sport DSG 6 airbags,GT sport Taigun,GT sport features,High price,GT sport,https://www.volkswagen.co.in
Volkswagen,Taigun,GT Plus 1.5L,SUV,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),19.30,17 kmpl,5,520,5 Star GNCAP,GT Plus ultimate DSG,GT Plus Taigun,Ultimate GT,Most expensive,Ultimate GT,https://www.volkswagen.co.in
Volkswagen,Virtus,1.0L MT,Sedan,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),10.70,18 kmpl,5,521,5 Star GNCAP,Touchscreen basic,Entry Virtus affordable,Budget sedan,Basic features,Budget sedan,https://www.volkswagen.co.in
Volkswagen,Virtus,1.0L HP MT,Sedan,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),11.56,18 kmpl,5,521,5 Star GNCAP,Touchscreen dual airbags,Popular mid Virtus,Good balance,Price higher,Value sedan,https://www.volkswagen.co.in
Volkswagen,Virtus,1.0L AT,Sedan,Petrol,Automatic AT,1.0L TSI Turbo (113PS/175Nm),13.56,17.5 kmpl,5,521,5 Star GNCAP,AT 6 airbags premium,AT Virtus,Easy AT drive,AT price,AT sedan,https://www.volkswagen.co.in
Volkswagen,Virtus,1.5L MT,Sedan,Petrol,Manual,1.5L TSI Turbo (150PS/250Nm),14.56,17 kmpl,5,521,5 Star GNCAP,Touchscreen 4 airbags,Feature mid Virtus,Powerful 1.5L,Manual,Feature sedan,https://www.volkswagen.co.in
Volkswagen,Virtus,1.5L DSG,Sedan,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),16.56,16.5 kmpl,5,521,5 Star GNCAP,DSG 6 airbags premium,DSG Virtus,Powerful DSG,Price higher,DSG sedan,https://www.volkswagen.co.in
Volkswagen,Virtus,1.5L GT DSG,Sedan,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),18.56,16.5 kmpl,5,521,5 Star GNCAP,GT sport DSG 6 airbags,GT sport Virtus,GT sport features,High price,GT sedan,https://www.volkswagen.co.in
Volkswagen,Virtus,1.5L GT+ DSG,Sedan,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),19.41,16.5 kmpl,5,521,5 Star GNCAP,GT+ ultimate DSG,GT Plus Virtus,Ultimate GT,Most expensive,Ultimate GT sedan,https://www.volkswagen.co.in
Volkswagen,Virtus,Chrome 1.0L,Sedan,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),10.70,18 kmpl,5,521,5 Star GNCAP,Chrome special edition,Chrome Virtus,Unique Chrome,Price higher,Chrome edition,https://www.volkswagen.co.in
Volkswagen,Virtus,Sport 1.0L,Sedan,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),14.34,18 kmpl,5,521,5 Star GNCAP,Sport edition MT,Sport Virtus,Sporty edition,Price higher,Sport sedan,https://www.volkswagen.co.in
Volkswagen,Tiguan,2.0 TSI,SUV,Petrol,Manual,2.0L TSI Turbo (190PS/320Nm),33.50,12.65 kmpl,5,480,5 Star GNCAP,Touchscreen premium,Tiguan mid SUV,Mid SUV,Manual,SUV classic,https://www.volkswagen.co.in
Volkswagen,Tiguan,2.0 TSI R-Line,SUV,Petrol,Automatic DSG,2.0L TSI Turbo (190PS/320Nm),47.11,12.58 kmpl,5,480,5 Star GNCAP,R-Line DSG premium,R-Line Tiguan,Premium R-Line,Expensive,Premium SUV,https://www.volkswagen.co.in
Volkswagen,Tayron R-Line,2.0 TSI,SUV,Petrol,Automatic DSG,2.0L TSI Turbo (190PS/320Nm),46.99,14 kmpl,7,Not specified,5 Star GNCAP,R-Line DSG 7 seater,R-Line Tayron,7 seater SUV,Expensive,7 seater SUV,https://www.volkswagen.co.in
Volkswagen,Golf GTI,2.0 TSI,Hatchback,Petrol,Manual,2.0L TSI Turbo (207PS/320Nm),50.90,16.34 kmpl,5,Not specified,5 Star GNCAP,GTI sport manual,Entry Golf GTI,GTI sport hatch,Manual,GTI hatch,https://www.volkswagen.co.in
Volkswagen,Golf GTI,2.0 TSI DSG,Hatchback,Petrol,Automatic DSG,2.0L TSI Turbo (207PS/320Nm),53.00,16 kmpl,5,Not specified,5 Star GNCAP,GTI DSG sport,Top Golf GTI,GTI DSG sport,Most expensive,GTI DSG hatch,https://www.volkswagen.co.in
