brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Tata,Tiago,XM,Hatchback,Petrol,Manual,1.2L Revotron 3-cyl (86PS/113Nm),4.7,19.01 kmpl,5,242,4 Star Global NCAP,Touchscreen,steering controls,ABC with EBD,Budget hatchback with updated 2026 design,Budget-friendly good mileage,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XE,Hatchback,Petrol,Manual,1.2L Revotron 3-cyl (86PS/113Nm),5,19.01 kmpl,5,242,4 Star Global NCAP,Basic features manual AC,Budget entry hatchback,Most affordable,Minimal features,First-time buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XE Plus,Hatchback,Petrol,Manual,1.2L Revotron 3-cyl (86PS/113Nm),5.3,19.01 kmpl,5,242,4 Star Global NCAP,Touchscreen steering controls,Updated 2026 facelift,Good features price,Small boot space,City commuters,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XT,Hatchback,Petrol,Manual,1.2L Revotron 3-cyl (86PS/113Nm),5.6,19.01 kmpl,5,242,4 Star Global NCAP,Touchscreen dual airbags,Popular mid variant,Balanced features,Higher variants needed,Value buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XZ+,Hatchback,Petrol,Manual,1.2L Revotron 3-cyl (86PS/113Nm),6.2,19.01 kmpl,5,242,4 Star Global NCAP,6 airbags TPMS connected tech,Top variant safety,Best safety features,Premium price,Safety conscious,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XZA+,Hatchback,Petrol,Automatic AMT,1.2L Revotron 3-cyl (86PS/113Nm),6.5,18.5 kmpl,5,242,4 Star Global NCAP,AMT automatic touchscreen,City drive convenience,Easy driving,AMT sluggish,City drivers,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XZ+ Ice Blue,Hatchback,Petrol,Manual,1.2L Revotron 3-cyl (86PS/113Nm),6.4,19.01 kmpl,5,242,4 Star Global NCAP,Ice Blue special edition color,Special edition styling,Unique color,Limited availability,Style buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XM CNG,Hatchback,CNG,Manual,1.2L CNG (74PS/95Nm),5.5,26 km/kg,5,242,4 Star Global NCAP,CNG option touchscreen,Budget CNG hatchback,Cost effective fuel,Less power,CNG buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XTEC CNG,Hatchback,CNG,Manual,1.2L CNG (74PS/95Nm),6,26.5 km/kg,5,242,4 Star Global NCAP,Touchscreen CNG connected tech,Updated CNG tech,Better mileage CNG,Slower acceleration,CNG enthusiasts,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XZ+ CNG,Hatchback,CNG,Manual,1.2L CNG (74PS/95Nm),6.8,27 km/kg,5,242,4 Star Global NCAP,6 airbags CNG connected tech,Top CNG variant safety,Best CNG safety,Higher price,CNG safety buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Tiago,XZ+ CNG Art,Hatchback,CNG,Manual,1.2L CNG (74PS/95Nm),7.2,27 km/kg,5,242,4 Star Global NCAP,Art edition special CNG features,Special edition CNG,Unique features,Limited stock,Style CNG buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XM,SUV,Petrol,Manual,1.2L Revotron (118.58PS/113Nm),5.65,18.74 kmpl,5,230,5 Star Bharat NCAP,Touchscreen steering controls,Entry SUV excellent safety,Budget SUV powerful,Boot limited,Budget SUV buyers,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XE,SUV,Petrol,Manual,1.2L Revotron (118.58PS/113Nm),5.85,18.74 kmpl,5,230,5 Star Bharat NCAP,Basic features manual AC,Most affordable SUV,M minimal features,Manual only,Budget first SUV,https://cars.tatamotors.com/support/brochures.html
Tata,Punch,XT,SUV,Petrol,Manual,1.2L Revotron (118.58PS/113Nm),6.35,18.74 kmpl,5,230,5 Star Bharat NCAP,Touchscreen dual airbags,Popular mid variant,Good balance features,AMT not available,Value SUV buyers,https://cars.tatamotors.com/support/brochures.html
