brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Jeep,Compass,1.4 Turbo Sport,SUV,Petrol,Manual,1.4L Turbo Petrol (155PS/250Nm),17.99,13.5 kmpl,5,412,Not specified,Touchscreen Uconnect 8.4L,Entry Compass Sport,Budget compact SUV,Basic features,Budget Jeep,https://www.jeep-india.com
Jeep,Compass,2.0 Turbo Sport,SUV,Petrol,Manual,2.0L Turbo Petrol (170PS/350Nm),20.50,12 kmpl,5,412,Not specified,Petrol 2L premium,2L Petrol Compass,Powerful petrol,High fuel,Petrol Jeep,https://www.jeep-india.com
Jeep,Compass,2.0 TT Diesel,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),21.99,14.5 kmpl,5,412,Not specified,Diesel 2L basic,Entry Diesel Compass,Powerful diesel,Price higher,Diesel Jeep,https://www.jeep-india.com
Jeep,Compass,Great_Lakes,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),23.50,14.5 kmpl,5,412,Not specified,Great Lakes special edition,Great Lakes edition,Unique edition,Limited,Great Lakes,https://www.jeep-india.com
Jeep,Compass,2.0 Altitude,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),24.99,14.5 kmpl,5,412,Not specified,Altitude premium edition,Altitude special,Premium edition,Expensive,Altitude,https://www.jeep-india.com
Jeep,Compass,Motion,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),26.50,14.5 kmpl,5,412,Not specified,Motion mid variant,Motion edition,Good features,Price higher,Motion,https://www.jeep-india.com
Jeep,Compass,2.0 LT Diesel,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),27.99,14.5 kmpl,5,412,Not specified,LT Diesel premium,LT Diesel variant,Better features,Expensive,LT Diesel,https://www.jeep-india.com
Jeep,Compass,Silver_Highline,SUV,Diesel,Automatic AT,2.0L Diesel (173PS/350Nm),29.99,14 kmpl,5,412,Not specified,AT Diesel premium,AT Diesel Compass,Easy AT diesel,AT price,AT Diesel Jeep,https://www.jeep-india.com
Jeep,Compass,2L LTD Diesel,SUV,Diesel,Automatic AT,2.0L Diesel (173PS/350Nm),30.70,14 kmpl,5,412,Not specified,LTD AT top diesel,Top LTD AT,Ultimate diesel,Most expensive,Ultimate Compass,https://www.jeep-india.com
Jeep,Meridian,1.4 Sport,SUV,Petrol,Manual,1.4L Turbo Petrol (155PS/250Nm),23.33,13 kmpl,5,Not specified,Not specified,Touchscreen Uconnect,Entry Meridian Sport,Budget midsize SUV,Basic features,Budget Meridian,https://www.jeep-india.com
Jeep,Meridian,2.0 Sport,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),25.50,14 kmpl,5,Not specified,Not specified,Diesel entry Sport,Entry Diesel Meridian,Powerful diesel,Price higher,Diesel Meridian,https://www.jeep-india.com
Jeep,Meridian,Great_Lakes,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),27.50,14 kmpl,5,Not specified,Not specified,Great Lakes edition,Great Lakes Meridian,Unique edition,Limited,Great Lakes Meridian,https://www.jeep-india.com
Jeep,Meridian,2.0 Altitude,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),28.99,14 kmpl,5,Not specified,Not specified,Altitude premium,Altitude Meridian,Premium features,Expensive,Altitude Meridian,https://www.jeep-india.com
Jeep,Meridian,Motion,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),30.50,14 kmpl,5,Not specified,Not specified,Motion mid variant,Motion Meridian,Good features,Price higher,Motion Meridian,https://www.jeep-india.com
Jeep,Meridian,2.0 LT,SUV,Diesel,Manual,2.0L Diesel (173PS/350Nm),32.50,14 kmpl,5,Not specified,Not specified,LT premium variant,LT Meridian,Better features,Expensive,LT Meridian,https://www.jeep-india.com
Jeep,Meridian,Silver_AT,SUV,Diesel,Automatic AT,2.0L Diesel (173PS/350Nm),34.50,13.5 kmpl,5,Not specified,Not specified,AT premium,AT Meridian,Easy AT diesel,AT price,AT Meridian,https://www.jeep-india.com
Jeep,Meridian,2.0 LTD_AT,SUV,Diesel,Automatic AT,2.0L Diesel (173PS/350Nm),36.21,13.5 kmpl,5,Not specified,Not specified,LTD AT top,Top LTD AT,Ultimate AT,Most expensive,Ultimate Meridian,https://www.jeep-india.com
Jeep,Wrangler,4.0L Sport,SUV,Petrol,Manual,3.6L V6 Petrol (285PS/350Nm),64.58,11 kmpl,5,Not specified,Not specified,Rugged offroad basic,Entry Wrangler Sport,Legendary offroad,Basic features,Offroad entry,https://www.jeep-india.com
Jeep,Wrangler,4.0L Sahara,SUV,Petrol,Manual,3.6L V6 Petrol (285PS/350Nm),66.50,11 kmpl,5,Not specified,Not specified,Sahara premium,Sahara Wrangler,Offroad premium,Price higher,Sahara Offroad,https://www.jeep-india.com
Jeep,Wrangler,4.0L Sport_S,AUV,Petrol,Manual,3.6L V6 Petrol (285PS/350Nm),67.81,11 kmpl,5,Not specified,Not specified,Sport S top variant,Top Sport S Wrangler,Ultimate Sport,Expensive,Top Sport,https://www.jeep-india.com
Jeep,Wrangler,Moab,SUV,Petrol,Manual,3.6L V6 Petrol (285PS/350Nm),73.16,11 kmpl,5,Not specified,Not specified,Moab ultimate edition,Moab Wrangler,Ultimate offroad,Most expensive,Ultimate Offroad,https://www.jeep-india.com
Jeep,Grand_Cherokee,4.0L Sport,SUV,Petrol,Manual,3.6L V6 Petrol (285PS/350Nm),63.00,10.5 kmpl,5,Not specified,Not specified,Premium SUV basic,Entry Grand Cherokee,Luxury legacy SUV,Basic features,Luxury entry,https://www.jeep-india.com
Jeep,Grand_Cherokee,4.0L Sahara,SUV,Petrol,Manual,3.6L V6 Petrol (285PS/350Nm),65.50,10.5 kmpl,5,Not specified,Not specified,Sahara premium,Sahara Grand Cherokee,Luxury premium,Price higher,Sahara Luxury,https://www.jeep-india.com
Jeep,Grand_Cherokee,4.0L Limited,SUV,Petrol,Manual,3.6L V6 Petrol (285PS/350Nm),67.50,10.5 kmpl,5,Not specified,Not specified,Limited top variant,Top Limited Grand Cherokee,Ultimate luxury,Expensive,Top Luxury,https://www.jeep-india.com
Jeep,Grand_Cherokee,Trailhawk,SUV,Petrol,Manual,3.6L V6 Petrol (285PS/350Nm),73.50,10 kmpl,5,Not specified,Not specified,Trailhawk offroad,Trailhawk Grand Cherokee,Offroad luxury,High price,Trailhawk Luxury,https://www.jeep-india.com
