brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,adult_occupant_pct,child_occupant_pct,vru_protection_pct,safety_assist_pct,euro_ncap_year,safety_features,key_highlights,pros,cons,best_for,brochure_link
Skoda,Kylaq,Standard,SUV,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),9.99,19.5 kmpl,5,385,5 Star Bharat NCAP,96%,91%,Not specified,Not specified,2025 Bharat NCAP,6 airbags ISOFIX,Entry Kylaq affordable,Budget SUV India,Basic features,Budget SUV India,https://www.skoda-auto.co.in
Skoda,Kylaq,Signature,SUV,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),11.49,19.5 kmpl,5,385,5 Star Bharat NCAP,96%,91%,Not specified,Not specified,2025 Bharat NCAP,6 airbags ISOFIX crest,Popular mid Kylaq,Good balance,Price higher,Value SUV India,https://www.skoda-auto.co.in
Skoda,Kylaq,Signature Plus,SUV,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),12.99,19.5 kmpl,5,385,5 Star Bharat NCAP,96%,91%,Not specified,Not specified,2025 Bharat NCAP,6 airbags 360 camera cre,Feature mid Kylaq,Good features,Manual,Feature SUV India,https://www.skoda-auto.co.in
Skoda,Kylaq,Automatic,SUV,Petrol,Automatic AT,1.0L TSI Turbo (113PS/175Nm),13.99,18.5 kmpl,5,385,5 Star Bharat NCAP,96%,91%,Not specified,Not specified,2025 Bharat NCAP,AT 6 airbags AT Kre,AT Kylaq,Easy AT drive,AT price,AT SUV India,https://www.skoda-auto.co.in
Skoda,Kylaq,Signature AT,SUV,Petrol,Automatic AT,1.0L TSI Turbo (113PS/175Nm),15.49,18.5 kmpl,5,385,5 Star Bharat NCAP,96%,91%,Not specified,Not specified,2025 Bharat NCAP,AT mid 6 airbags AT K,AT mid Kylaq,Good AT,Price higher,Mid AT SUV,https://www.skoda-auto.co.in
Skoda,Oriq,1.0 TSI,SUV,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),15.49,17 kmpl,5,450,5 Star Euro NCAP,90%,87%,77%,78%,2025 Euro NCAP,6 airbags ADAS ISOFIX,Entry Elroq EV electric,Budget EV SUV,Basic EV infra,Budget EV SUV,https://www.skoda-auto.co.in
Skoda,Oriq,1.5 TSI,SUV,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),17.99,16 kmpl,5,450,5 Star Euro NCAP,90%,87%,77%,78%,2025 Euro NCAP,6 airbags DSG ADAS ISOF,DSG mid Elroq,Good DSG,Price higher,Mid DSG SUV,https://www.skoda-auto.co.in
Skoda,Oriq,1.5 TSI Style,SUV,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),19.99,16 kmpl,5,450,5 Star Euro NCAP,90%,87%,77%,78%,2025 Euro NCAP,6 airbags DSG premium,DSG premium Elroq,Better DSG,Expensive,Premium DSG,https://www.skoda-auto.co.in
Skoda,Oriq,1.5 TSI 200,SUV,Petrol,Automatic DSG,1.5L TSI Turbo (200PS/320Nm),22.99,15.5 kmpl,5,450,5 Star Euro NCAP,90%,87%,77%,78%,2025 Euro NCAP,6 airbags DSG 200S,DSG 200S Elroq,Powerful 200S,High price,Powerful DSG,https://www.skoda-auto.co.in
Skoda,Enyaq,77 kWh,EV SUV,Electric,Automatic,77 kWh Electric Motor (200 bhp),65.90,530 km,5,529,5 Star Euro NCAP,90%,87%,77%,78%,2021 Euro NCAP,6 airbags EV ISOFIX,Entry Enyaq EV electric,Budget EV SUV,Basic EV infra,Budget EV SUV,https://www.skoda-auto.co.in
Skoda,Enyaq,82 kWh,EV SUV,Electric,Automatic,82 kWh Electric Motor (230 bhp),69.90,560 km,5,529,5 Star Euro NCAP,90%,87%,77%,78%,2021 Euro NCAP,6 airbags EV ISOFIX,Mid Enyaq EV electric,Better EV range,Price higher,Mid EV SUV,https://www.skoda-auto.co.in
Skoda,Enyaq,82 kWh RS,EV SUV,Electric,Automatic,82 kWh Electric Motor (280 bhp),74.90,560 km,5,529,5 Star Euro NCAP,90%,87%,77%,78%,2021 Euro NCAP,6 airbags EV RS ISOF,RS Enyaq EV electric,Powerful RS,High price,Powerful RS EV,https://www.skoda-auto.co.in
Skoda,Kodiaq,1.5 TSI,SUV,Petrol,Manual,1.5L TSI Turbo (150PS/250Nm),28.99,15 kmpl,5,630,5 Star Euro NCAP,89%,83%,82%,78%,2024 Euro NCAP,7 airbags ADAS ISOFIX,Entry Kodiaq 7 seater,Budget 7 seater SUV,Basic features,Budget 7 seater,https://www.skoda-auto.co.in
Skoda,Kodiaq,2.0 TDI,SUV,Diesel,Manual,2.0L TDI Diesel (190PS/400Nm),32.99,14 kmpl,5,630,5 Star Euro NCAP,89%,83%,82%,78%,2024 Euro NCAP,7 airbags DSG ADAS,DSG mid Kodiaq,Powerful diesel,Price higher,Mid DSG diesel,https://www.skoda-auto.co.in
Skoda,Kodiaq,2.0 TDI 4X4,SUV,Diesel,Automatic DSG,2.0L TDI Diesel (190PS/400Nm),36.99,13.5 kmpl,5,630,5 Star Euro NCAP,89%,83%,82%,78%,2024 Euro NCAP,4X4 7 airbags DSG,4X4 Kodiaq,Ultimate 4X4,High price,Ultimate 4X4,https://www.skoda-auto.co.in
Skoda,Kodiaq,1.5 TSI Style,SUV,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),31.99,15 kmpl,5,630,5 Star Euro NCAP,89%,83%,82%,78%,2024 Euro NCAP,DSG premium 7 airbags,DSG premium Kodiaq,Better DSG,Expensive,Premium DSG 7,https://www.skoda-auto.co.in
Skoda,Superb,1.5 TSI,Sedan,Petrol,Manual,1.5L TSI Turbo (150PS/250Nm),45.99,16 kmpl,5,516,5 Star Euro NCAP,93%,87%,82%,80%,2024 Euro NCAP,6 airbags ADAS ISOFIX,Entry Superb sedan,Budget luxury sedan,Basic features,Budget luxury,https://www.skoda-auto.co.in
Skoda,Superb,2.0 TDI,Sedan,Diesel,Manual,2.0L TDI Diesel (190PS/400Nm),49.99,15 kmpl,5,516,5 Star Euro NCAP,93%,87%,82%,80%,2024 Euro NCAP,6 airbags DSG ADAS,DSG mid Superb,Powerful diesel,Price higher,Mid DSG diesel,https://www.skoda-auto.co.in
Skoda,Superb,2.0 TDI DSG,Sedan,Diesel,Automatic DSG,2.0L TDI Diesel (190PS/400Nm),54.99,14.5 kmpl,5,516,5 Star Euro NCAP,93%,87%,82%,80%,2024 Euro NCAP,DSG premium 6 airbags,DSG premium Superb,Better DSG luxury,Expensive,Premium DSG luxury,https://www.skoda-auto.co.in
Skoda,Octavia,1.0 TSI,Sedan,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),35.99,17 kmpl,5,600,5 Star Euro NCAP,85%,82%,81%,80%,2025 Euro NCAP,6 airbags ISOFIX,Entry Octavia sedan,Budget sedan,Basic features,Budget sedan,https://www.skoda-auto.co.in
Skoda,Octavia,1.5 TSI,Sedan,Petrol,Manual,1.5L TSI Turbo (150PS/250Nm),39.99,16 kmpl,5,600,5 Star Euro NCAP,85%,82%,81%,80%,2025 Euro NCAP,6 airbags mid ISOFIX,Mid Octavia sedan,Better features,Price higher,Mid sedan,https://www.skoda-auto.co.in
Skoda,Octavia,1.5 TSI Style,Sedan,Petrol,Automatic DSG,1.5L TSI Turbo (150PS/250Nm),44.99,15.5 kmpl,5,600,5 Star Euro NCAP,85%,82%,81%,80%,2025 Euro NCAP,DSG premium 6 airbags,DSG premium Octavia,Better DSG,Expensive,Premium DSG,https://www.skoda-auto.co.in
Skoda,Fabia,1.0 TSI,Hatchback,Petrol,Manual,1.0L TSI Turbo (113PS/175Nm),22.99,18 kmpl,5,330,5 Star Euro NCAP,Not specified,Not specified,Not specified,Not specified,2022 Euro NCAP,6 airbags ISOFIX,Entry Fabia hatchback,Budget hatchback,Basic features,Budget hatchback,https://www.skoda-auto.co.in
Skoda,Fabia,1.5 TSI,Hatchback,Petrol,Manual,1.5L TSI Turbo (150PS/250Nm),25.99,17 kmpl,5,330,5 Star Euro NCAP,Not specified,Not specified,Not specified,Not specified,2022 Euro NCAP,6 airbags mid ISOFIX,Mid Fabia hatchback,Better features,Price higher,Mid hatchback,https://www.skoda-auto.co.in
Skoda,Fabia,1.5 TSI RS,Hatchback,Petrol,Automatic DSG,1.5L TSI Turbo (190PS/320Nm),29.99,16.5 kmpl,5,330,5 Star Euro NCAP,Not specified,Not specified,Not specified,Not specified,2022 Euro NCAP,DSG RS 6 airbags,DSG RS Fabia,Powerful RS,High price,Powerful RS hatch,https://www.skoda-auto.co.in
