brand,model,variant,body_type,fuel_type,transmission,engine_spec,price_range_exshowroom_in_lakh,mileage_or_range,seating_capacity,boot_space_liters,safety_rating,features,key_highlights,pros,cons,best_for,brochure_link
Hyundai,Grand_i10_NIOS,ERA,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),5.59,20.7 kmpl,5,250,Not specified,Touchscreen basic,Entry NIOS affordable,Budget hatchback,Basic features,Budget hatch,https://www.hyundai.com/in/en
Hyundai,Grand_i10_NIOS,Magna,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),6.09,20.7 kmpl,5,250,Not specified,Touchscreen dual airbags,Popular mid NIOS,Good balance,Price higher,Value NIOS,https://www.hyundai.com/in/en
Hyundai,Grand_i10_NIOS,Sport,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),6.59,20.7 kmpl,5,250,Not specified,Touchscreen 4 airbags,Feature mid NIOS,Good features,Manual,Feature NIOS,https://www.hyundai.com/in/en
Hyundai,Grand_i10_NIOS,Top,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),7.09,20.7 kmpl,5,250,Not specified,Touchscreen premium,Top mid NIOS,Best features,Expensive,Top mid NIOS,https://www.hyundai.com/in/en
Hyundai,Grand_i10_NIOS,Astam,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),7.59,20.7 kmpl,5,250,Not specified,Touchscreen 6 airbags,Top NIOS safety,Best safety,Price,Safety NIOS,https://www.hyundai.com/in/en
Hyundai,Grand_i10_NIOS,AstamCVT,Hatchback,Petrol,Automatic CVT,1.2L Kappa Petrol (83PS/114Nm),8.04,20 kmpl,5,250,Not specified,CVT automatic top,Top CVT NIOS,Ultimate CVT,Most expensive,Ultimate NIOS,https://www.hyundai.com/in/en
Hyundai,Grand_i10_NIOS,CNG,Hatchback,CNG,Manual,1.2L CNG,6.1,25 km/kg,5,250,Not specified,CNG basic hatch,Budget CNG hatch,Cost effective,Slower,Budget CNG,https://www.hyundai.com/in/en
Hyundai,Grand_i10_NIOS,CNG+Astam,Hatchback,CNG,Manual,1.2L CNG,7.1,25 km/kg,5,250,Not specified,CNG premium top,Top CNG hatch,Full CNG features,Expensive,Top CNG,https://www.hyundai.com/in/en
Hyundai,i20,Magna,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),5.99,20.5 kmpl,5,311,Not specified,Touchscreen basic,Entry i20 premium,Budget premium hatch,Basic features,Budget i20,https://www.hyundai.com/in/en
Hyundai,i20,Sport,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),6.49,20.5 kmpl,5,311,Not specified,Touchscreen dual airbags,Popular mid i20,Good balance,Price higher,Value i20,https://www.hyundai.com/in/en
Hyundai,i20,Aspect,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),6.99,20.5 kmpl,5,311,Not specified,Touchscreen 4 airbags,Feature mid i20,Good features,Manual,Feature i20,https://www.hyundai.com/in/en
Hyundai,i20,SportPlus,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),7.49,20.5 kmpl,5,311,Not specified,Touchscreen premium,Top mid i20,Best features,Expensive,Top mid i20,https://www.hyundai.com/in/en
Hyundai,i20,Astam,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),7.99,20.5 kmpl,5,311,Not specified,Touchscreen 6 airbags,Top i20 safety,Best safety,Price higher,Safety i20,https://www.hyundai.com/in/en
Hyundai,i20,AstamIVT,Hatchback,Petrol,Automatic IVT,1.2L Kappa Petrol (83PS/114Nm),8.5,19.5 kmpl,5,311,Not specified,IVT automatic top,Top IVT i20,Ultimate IVT,Most expensive,Ultimate i20,https://www.hyundai.com/in/en
Hyundai,i20_Astam_1.2L,Magna,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),8.5,20.5 kmpl,5,311,Not specified,Premium i20 variant,Premium i20,Better features,Price,Premium i20,https://www.hyundai.com/in/en
Hyundai,i20_Astam_1.2L,Astam,Hatchback,Petrol,Manual,1.2L Kappa Petrol (83PS/114Nm),9.5,20.5 kmpl,5,311,Not specified,Top i20 features,Ultimate i20,Full features,Expensive,Ultimate i20,https://www.hyundai.com/in/en
Hyundai,i20_Astam_1.2L,AstamIVT,Hatchback,Petrol,Automatic IVT,1.2L Kappa Petrol (83PS/114Nm),10.63,19.5 kmpl,5,311,Not specified,Top IVT i20,Ultimate IVT i20,Best IVT,High price,Ultimate IVT,https://www.hyundai.com/in/en
Hyundai,i20_N_Line,NL,Hatchback,Petrol,Manual,1.0L Turbo Petrol (120PS/170Nm),9.27,19 kmpl,5,311,Not specified,Turbo sport basic,Entry N Line sport,Sporty turbo,Basic features,Sport entry,https://www.hyundai.com/in/en
Hyundai,i20_N_Line,NL+,Hatchback,Petrol,Manual,1.0L Turbo Petrol (120PS/170Nm),9.77,19 kmpl,5,311,Not specified,Turbo sport mid,Mid N Line sport,Good features,Price higher,Value N Line,https://www.hyundai.com/in/en
Hyundai,i20_N_Line,NLDCT,Hatchback,Petrol,Automatic DCT,1.0L Turbo Petrol (120PS/170Nm),10.27,18.5 kmpl,5,311,Not specified,Turbo DCT sport,DCT N Line sport,Easy DCT drive,DCT price,DCT N Line,https://www.hyundai.com/in/en
